EV; HR; LT; LG; NV; VL; NL; DG; SV; DT
105;20220708101424;-19,994936;-44,024870;30958;0;240;0;1;38140
105;20220708101509;-19,919680;-43,996703;30897;0;2374;0
105;20220708101445;-19,914440;-44,003785;40809;0;8058;0;1;36315
105;20220708101451;-19,912998;-43,942031;40830;0;870;0;1;8419
105;20220708101448;-19,811373;-44,006273;10633;0;5574;0;1;1634
105;20220708101452;-19,923257;-43,925811;40848;0;1041;0;1;7212
105;20220708101453;-19,924211;-43,944765;40850;0;739;0;1;9850
105;20220708101454;-19,833854;-43,903884;20700;6;5538;205;1;10167
105;20220708101448;-19,937418;-44,003252;40736;26;962;108;1;10161
105;20220708101452;-19,898391;-43,992167;40257;9;7121;1;1;25111
105;20220708101451;-19,873833;-43,909040;20418;0;2359;0
105;20220708101451;-19,831760;-43,940611;10838;47;502;341;1;34160
105;20220708101456;-19,992887;-44,040034;30553;0;206;0;1;7646
105;20220708101418;-19,909217;-43,895236;20791;0;7438;0;0;1539
105;20220708101452;-19,930122;-43,973320;30767;46;207;107;1;13036
105;20220708101452;-19,963977;-43,963330;10786;0;5916;0;0;1890
105;20220708101455;-20,007454;-44,035486;30808;7;264;359;1;11671
105;20220708101453;-19,941878;-43,942113;20735;14;617;191;1;6841
105;20220708101453;-19,919627;-43,959270;30818;0;6016;0;1;15698
105;20220708101454;-19,917335;-43,948616;40312;59;374;130;1;10768
105;20220708101455;-19,913301;-43,993538;40705;47;4055;350;3;11438
105;20220708101451;-19,915611;-43,909026;40311;2;890;204;2;4699
105;20220708101453;-19,909648;-44,019501;40444;21;890;47;1;1742
105;20220708101453;-19,885434;-43,980412;40485;0;592;82
105;20220708101421;-19,994708;-44,024634;40715;0;7419;0;1;22184
105;20220708101457;-19,862584;-43,920950;20592;0;5996;0;0;8921
105;20220708101452;-19,821831;-43,986292;11153;0;5583;0;1;10830
105;20220708101456;-19,840509;-43,965768;11101;8;5616;281;1;5616
105;20220708101455;-19,901292;-43,933416;30787;0;66;0;2;8704
105;20220708101455;-19,852261;-43,927704;20442;0;1623;268;0;1525
105;20220708101422;-19,885624;-43,979070;10142;0;348;0;0;5043
105;20220708101453;-19,828190;-43,942357;30606;51;502;335;1;34072
105;20220708101352;-19,994745;-44,024233;30557;0;207;0;1;31535
105;20220708101454;-19,911391;-43,964403;10674;0;674;0;2;2683
105;20220708101428;-19,874936;-43,908503;20602;0;4023;0;0;11542
105;20220708101450;-19,929487;-43,938698;20907;33;588;194;1;8423
105;20220708101451;-19,923350;-43,936134;20810;20;334;151;1;6731
105;20220708101453;-19,856560;-43,894982;20320;52;374;64;0;3865
105;20220708101453;-19,947349;-44,007061;30755;0;100;0;3;13317
105;20220708101425;-19,830685;-44,013701;10947;0;5585;0;0;1476
105;20220708101449;-19,893615;-43,940459;11002;14;599;195;1;2540
105;20220708101454;-19,929417;-43,930838;31033;3;243;52;1;22193
105;20220708101453;-19,926207;-43,951893;10826;8;5620;169;1;10482
105;20220708101451;-19,868465;-44,015121;40474;0;606;0;0;7631
105;20220708101451;-19,870487;-43,955129;40504;25;5559;338;1;16719
105;20220708101456;-19,978957;-44,003178;31071;0;908;0;0;16
105;20220708101452;-19,864867;-44,003624;40793;2;7121;73;1;1327
105;20220708101450;-19,949092;-43,982273;30770;14;908;123;1;23193
105;20220708101425;-19,917571;-43,995157;40526;0;5559;0;0;14673
105;20220708101453;-19,863104;-43,920959;20636;0;5538;0;0;8901
105;20220708101454;-19,842245;-43,968495;11021;20;5567;221;1;7120
105;20220708101459;-19,962041;-43,989189;30825;0;238;0;1;0
105;20220708101424;-19,862626;-43,920913;20571;0;3740;0;0;7300
105;20220708101259;-19,864836;-44,017672;40775;24;8098;189;1;39143
105;20220708101450;-19,832085;-43,975865;20862;27;490;70;1;7671
105;20220708101450;-19,930816;-43,973188;30521;7;594;178;1;17340
105;20220708101450;-19,922632;-43,945851;30875;21;4018;195;1;24325
105;20220708101454;-19,918276;-43,880468;30410;32;610;238;1;26557
105;20220708101452;-19,922337;-43,925734;40391;3;612;217;1;10471
